galaxy,Intercept,Intercept_error,Slope,Slope_error,Value,Sigma
IC5332 ,8.475,0.012,0.173,0.002,8.302,0.066
NGC0628,8.533,0.014,-0.054,0.001,8.478,0.048
NGC1087,8.479,0.000,-0.070,0.010,8.409,0.032
NGC1300,8.617,0.015,-0.079,0.001,8.537,0.042
NGC1365,8.666,0.004,-0.188,0.005,8.477,0.040
NGC1385,8.459,0.002,-0.038,0.014,8.421,0.033
NGC1433,8.569,0.016,-0.013,0.001,8.556,0.051
NGC1512,8.581,0.014,-0.016,0.001,8.565,0.042
NGC1566,8.613,0.004,-0.037,0.004,8.576,0.037
NGC1672,8.566,0.009,-0.013,0.000,8.553,0.033
NGC2835,8.555,0.006,-0.157,0.002,8.398,0.040
NGC3351,8.579,0.013,0.007,0.001,8.587,0.044
NGC3627,8.538,0.003,0.006,0.004,8.544,0.033
NGC4254,8.590,0.004,-0.028,0.003,8.562,0.030
NGC4303,8.613,0.000,-0.032,0.006,8.580,0.034
NGC4321,8.592,0.006,-0.028,0.004,8.564,0.036
NGC4535,8.580,0.014,-0.040,0.003,8.541,0.039
NGC5068,8.412,0.013,-0.094,0.001,8.318,0.054
NGC7496,8.588,0.010,-0.081,0.003,8.507,0.045
