,galaxy,distance,gal_ra,gal_dec,pos_ang,incl,nat_res,r_eff,maps_musedap,maps_nat,maps_150,maps_1kpc,maps_HII,maps_irac,maps_CO21,maps_eCO21,maps_CO_fine,maps_eCO_fine,maps_ext,maps_vdisp,maps_HST,JWST200,JWST300,JWST335,JWST360,JWST770,JWST1000,JWST1130,JWST2100,sn_name,sn_type,sn_ra,sn_dec
0,NGC1087,15.85,41.60492,-0.498717,359.1,42.9,0.92,42.091877,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1087-0.92asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1087_nebulae_mask_V2.fits,../Data/IRAC/ngc1087_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC1087_MAPS_sfr.fits,../Data/vdisp/ngc1087_vdisp.fits,../../GalaxyFiles/HST/ngc1087_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1087_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,['SN1995V'],['II'],[41.61152777777777],[-0.4987861111111111]
1,NGC1300,18.99,49.920815,-19.411114,278.0,31.8,0.89,70.87826,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1300-0.89asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1300_nebulae_mask_V2.fits,../Data/IRAC/ngc1300_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC1300_MAPS_sfr.fits,../Data/vdisp/ngc1300_vdisp.fits,../../GalaxyFiles/HST/ngc1300_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1300_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,['SN2022acko'],['II'],[49.91245833333333],[-19.39518888888889]
2,NGC1365,19.57,53.40152,-36.140404,201.1,55.4,1.15,29.30388,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1365-1.15asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1365_nebulae_mask_V2.fits,../Data/IRAC/ngc1365_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC1365_MAPS_sfr.fits,../Data/vdisp/ngc1365_vdisp.fits,../../GalaxyFiles/HST/ngc1365_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1365_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN2012fr', 'SN2001du', 'SN1983V', 'SN1957C']","['Ia', 'II', 'Ic', 'Unclassified']","[53.40057916666666, 53.3713125, 53.381876388888884, 53.38349999999999]","[-36.12676944444445, -36.142111111111106, -36.14859166666667, -36.11770833333333]"
3,NGC1433,18.63,55.506195,-47.221943,199.7,28.6,0.91,47.65179,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1433-0.91asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1433_nebulae_mask_V2.fits,../Data/IRAC/ngc1433_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_90pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_90pc_broad_emom0.fits,../Data/SFR_v1/NGC1433_MAPS_sfr.fits,../Data/vdisp/ngc1433_vdisp.fits,../../GalaxyFiles/HST/ngc1433_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1433_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,['SN1985P'],['II'],[55.52640625],[-47.209987222222225]
4,NGC1566,17.69,65.00159,-54.93801,214.7,29.5,0.8,36.968307,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1566-0.80asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1566_nebulae_mask_V2.fits,../Data/IRAC/ngc1566_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC1566_MAPS_sfr.fits,../Data/vdisp/ngc1566_vdisp.fits,../../GalaxyFiles/HST/ngc1566_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1566_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN2021aefx', 'SN2010el', 'ASASSN-14ha']","['Ia', 'Ia-02cx', 'II']","[64.9725, 64.99512499999999, 65.0058875]","[-54.94808055555555, -54.94402777777778, -54.93807777777778]"
5,NGC1672,19.4,71.42704,-59.247257,134.3,42.6,0.96,36.080307,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1672-0.96asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1672_nebulae_mask_V2.fits,../Data/IRAC/ngc1672_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC1672_MAPS_sfr.fits,../Data/vdisp/ngc1672_vdisp.fits,../../GalaxyFiles/HST/ngc1672_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc1672_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN2022aau', 'SN2017gax']","['II', 'Ib/c']","[71.423975, 71.45607916666667]","[-59.245383333333336, -59.24512777777778]"
6,NGC3627,11.32,170.06252,12.9915,173.1,57.3,1.05,66.259544,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC3627-1.05asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC3627_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC3627_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC3627_sfr_1kpc.fits,../Data/HII_reg_masks/NGC3627_nebulae_mask_V2.fits,../Data/IRAC/ngc3627_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc3627_12m+7m+tp_co21_90pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc3627_12m+7m+tp_co21_90pc_broad_emom0.fits,../Data/SFR_v1/NGC3627_MAPS_sfr.fits,../Data/vdisp/ngc3627_vdisp.fits,../../GalaxyFiles/HST/ngc3627_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc3627_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN1973R', 'SN1989B', 'SN2016cok', 'SN2009hd', 'SN1997bs']","['II', 'Ia', 'II P', 'II', 'IIn']","[170.04809375, 170.05796666666666, 170.07957933333336, 170.07072916666667, 170.0592513888889]","[12.997739999999999, 13.005307777777778, 12.98244948888889, 12.979569444444444, 12.972107407407407]"
7,NGC4254,13.1,184.7068,14.416412,68.1,34.4,0.89,37.882404,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC4254-0.89asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4254_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4254_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4254_sfr_1kpc.fits,../Data/HII_reg_masks/NGC4254_nebulae_mask_V2.fits,../Data/IRAC/ngc4254_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC4254_MAPS_sfr.fits,../Data/vdisp/ngc4254_vdisp.fits,../../GalaxyFiles/HST/ngc4254_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4254_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN1967H', 'SN1972Q', 'SN1986I', 'SN2014L']","['II', 'II', 'II', 'Ic']","[184.71836111111114, 184.71066666666667, 184.71690625, 184.70291666666668]","[14.41404861111111, 14.44432638888889, 14.412266111111112, 14.412069444444445]"
8,NGC4303,16.99,185.47888,4.473744,312.4,23.5,0.78,41.60867,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC4303-0.78asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4303_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4303_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4303_sfr_1kpc.fits,../Data/HII_reg_masks/NGC4303_nebulae_mask_V2.fits,../Data/IRAC/ngc4303_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC4303_MAPS_sfr.fits,../Data/vdisp/ngc4303_vdisp.fits,../../GalaxyFiles/HST/ngc4303_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F300M_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F335M_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F360M_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc4303/ngc4303_F2100W_atGauss7p5_anchored.fits,"['SN1999gn', 'SN1926A', 'SN1961I', 'SN1964F', 'SN2020jfo', 'SN2006ov', 'SN2014dt']","['II P', 'II', 'II', 'II', 'II P', 'II', 'Ia Pec']","[185.48760972222217, 185.47536458333335, 185.50184583333336, 185.4698125, 185.46016458333332, 185.48041875, 185.48991666666666]","[4.462676851851852, 4.493354166666666, 4.47037962962963, 4.473770833333334, 4.481692777777778, 4.487970833333334, 4.471777777777778]"
9,NGC4321,15.21,185.72887,15.822304,156.2,38.5,1.16,74.58043,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC4321-1.16asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4321_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4321_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC4321_sfr_1kpc.fits,../Data/HII_reg_masks/NGC4321_nebulae_mask_V2.fits,../Data/IRAC/ngc4321_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc4321_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4321_12m+7m+tp_co21_150pc_broad_emom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4321_12m+7m+tp_co21_120pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc4321_12m+7m+tp_co21_120pc_broad_emom0.fits,../Data/SFR_v1/NGC4321_MAPS_sfr.fits,../Data/vdisp/ngc4321_vdisp.fits,../../GalaxyFiles/HST/ngc4321_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_nircam_lv3_f200w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_nircam_lv3_f300m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_nircam_lv3_f335m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_nircam_lv3_f360m_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_miri_lv3_f770w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_miri_lv3_f1000w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_miri_lv3_f1130w_i2d_anchor_atgauss0p85.fits,../../GalaxyFiles/JWSTLargeFiles/ngc4321_miri_lv3_f2100w_i2d_anchor_atgauss0p85.fits,"['SN2006X', 'SN1959E', 'SN1901B', 'SN2020oi', 'SN2019ehk']","['Ia', 'I', 'I', 'Ic', 'Ib']","[185.72488194444443, 185.74543194444445, 185.6970833333333, 185.72892708333336, 185.73393055555553]","[15.809006481481482, 15.816989814814816, 15.82375, 15.8236125, 15.826070370370369]"
