Galaxy,ESO-MPG_Hasub_wcomb_corr,MUSEResolution,MUSEmap
IC5332,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/IC5332_Hasub_flux_corrs.fits,0.87,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/IC5332-0.87asec_MAPS.fits
NGC0628,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits
NGC1087,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1087_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1087-0.92asec_MAPS.fits
NGC1300,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1300_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1300-0.89asec_MAPS.fits
NGC1365,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1365_Hasub_flux_corrs.fits,1.15,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits
NGC1385,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1385_Hasub_flux_corrs.fits,0.77,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1385-0.77asec_MAPS.fits
NGC1433,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1433_Hasub_flux_corrs.fits,0.91,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1433-0.91asec_MAPS.fits
NGC1512,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1512_Hasub_flux_corrs.fits,1.25,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1512-1.25asec_MAPS.fits
NGC1566,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1566_Hasub_flux_corrs.fits,0.8,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits
NGC1672,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1672_Hasub_flux_corrs.fits,0.96,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1672-0.96asec_MAPS.fits
NGC2835,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC2835_Hasub_flux_corrs.fits,1.15,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC2835-1.15asec_MAPS.fits
NGC2997,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC2997_Hasub_flux_corrs.fits,,
NGC3351,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3351_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3351-1.05asec_MAPS.fits
NGC3511,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3511_Hasub_flux_corrs.fits,,
NGC3596,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3596_Hasub_flux_corrs.fits,,
NGC3627,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits
NGC4254,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4254_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits
NGC4293,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4293_Hasub_flux_corrs.fits,,
NGC4298,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4298_Hasub_flux_corrs.fits,,
NGC4303,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits
NGC4321,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits
NGC4496A,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4496A_Hasub_flux_corrs.fits,,
NGC4535,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4535_Hasub_flux_corrs.fits,0.56,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4535-0.56asec_MAPS.fits
NGC4540,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4540_Hasub_flux_corrs.fits,,
NGC4548,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4548_Hasub_flux_corrs.fits,,
NGC4569,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4569_Hasub_flux_corrs.fits,,
NGC4571,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4571_Hasub_flux_corrs.fits,,
NGC4654,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4654_Hasub_flux_corrs.fits,,
NGC4689,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4689_Hasub_flux_corrs.fits,,
NGC4731,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4731_Hasub_flux_corrs.fits,,
NGC5068,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC5068_Hasub_flux_corrs.fits,1.04,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC5068-1.04asec_MAPS.fits
NGC6744,/home/mayker.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC6744_Hasub_flux_corrs.fits,,
NGC7496,,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC7496-0.89asec_MAPS.fits
