Supernova,Type,Int_native,Int_150,Int_1kpc
SN2013ej , II , nan , nan , nan
SN2019krl , IIn/LBV , 447.33069091690675 , 117.73639895611818 , 119.62957869932427
SN1995V , II , 2663.371834437333 , 2851.2831264857423 , 2205.8805081294695
SN2022acko , II , 215.43198181769688 , 291.42165400604426 , 368.4731780423753
SN1957C , Unclassified , 1737.6042541521983 , 1863.6718999131263 , 2010.432522712961
SN1983V , Ic , 5743.357614386635 , 4415.65792299896 , 521.3173631684485
SN2001du , II , 929.5770449217084 , 1147.752336641269 , 2187.0730284798246
SN2012fr , Ia , 69.97068734325512 , 74.82494171124652 , 138.4493763429622
SN1985P , II , 162.95929157157056 , 175.0670574767642 , 198.55073716846732
ASASSN-14ha , II , 2552.702982824482 , 3057.8869883743932 , 1754.6700461516516
SN2010el , Ia-02cx , 247.78910338751842 , 321.87995062089186 , 1320.8968251427377
SN2021aefx , Ia , 99.3203429556626 , 119.18331439746291 , 149.29550524853775
SN2017gax , Ib/c , 3288.5962211884453 , 4483.519479561505 , 1311.340131924329
SN2022aau , II , 13053.931693480788 , 16796.766774475036 , 21186.74234036707
SN1973R , II , 3641.8359165311044 , 2777.085290223081 , 1376.109052878603
SN1989B , Ia , 5377.5428576474815 , 6343.059300732915 , 7678.512732074439
SN1997bs , IIn , 433.3893373431311 , 346.92831831731206 , 454.03964885169523
SN2009hd , II , 11157.405782696505 , 9612.740607151352 , 5552.648095881115
SN2016cok , II P , 1469.2646544555248 , 1737.083664974086 , 1569.206817366112
SN1967H , II , 3269.1013084182046 , 3426.9062272084802 , 3873.3034247422893
SN1972Q , II , 1588.343437618811 , 1594.91553690193 , 912.6455396645083
SN1986I , II , 2744.9076906747837 , 4103.45024790355 , 3408.949034505829
SN2014L , Ic , 8791.528186480513 , 11501.379206651576 , 4392.270879559121
SN1926A , II , 647.2625920776151 , 812.1319012636366 , 1318.4649282156154
SN1961I , II , 2503.507698096323 , 3032.5548462214006 , 1093.5846425842378
SN1964F , II , 230.26304785184644 , 254.18195956521512 , 438.9036160342621
SN1999gn , II P , 7414.512763734314 , 13061.313771363397 , 5493.439769801511
SN2006ov , II , 2040.6701510337875 , 2695.6249835921676 , 3642.731483444038
SN2014dt , Ia Pec , 570.776247869652 , 654.4374326638828 , 2029.7585012288905
SN2020jfo , II P , 865.0687970124817 , 780.2259445597258 , 896.7141680521273
PTSS-19clju , Unclassified , 266.0500507053979 , 224.12122909995668 , 407.2652675275998
SN1901B , I , 830.6459085009695 , 754.8454658487207 , 1240.6198317352723
SN1959E , I , 1266.9597513743083 , 1311.6148317038412 , 2182.3079661843085
SN1979C , II , nan , nan , nan
SN2006X , Ia , 192.25045561677246 , 204.42835328721827 , 377.00688310327104
SN2019ehk , Ib , 270.7139218536486 , 239.72673978775248 , 430.0288247213751
SN2020oi , Ic , 20132.408621186285 , 19049.687520171625 , 9996.836015791952
