sn_name,sn_type,in_HII,hii_dist,hii_val
SN1995V,II,Yes,0.1,731
SN2022acko,II,No,130.01600444193133,-1
SN2012fr,Ia,No,524.4543897703514,-1
SN2001du,II,No,87.5537377364194,-1
SN1983V,SESNe,Yes,0.1,385
SN1957C,Unclassified,No,200.505604662059,-1
SN1985P,II,No,20.811225172366374,-1
SN2021aefx,Ia,No,120.46305271801783,-1
SN2010el,Ia,No,99.72973136165785,-1
ASASSN-14ha,II,Yes,0.1,877
SN2022aau,II,Yes,0.1,803
SN2017gax,SESNe,Yes,0.1,429
SN1973R,II,Yes,0.1,433
SN1989B,Ia,Yes,0.1,390
SN2016cok,II,No,28.702594193016406,-1
SN2009hd,II,Yes,0.1,396
SN1997bs,II,Yes,0.1,961
SN1967H,II,No,11.063830000808956,-1
SN1972Q,II,No,15.403572953645517,-1
SN1986I,II,No,6.9197748636601775,-1
SN2014L,SESNe,Yes,0.1,1309
SN1999gn,II,Yes,0.1,58
SN1926A,II,No,43.83215719364551,-1
SN1961I,II,Yes,0.1,373
SN1964F,II,No,35.51986063062252,-1
SN2020jfo,II,No,21.590799804873996,-1
SN2006ov,II,No,13.967811816124978,-1
SN2014dt,Ia,No,213.88485827893234,-1
SN2006X,Ia,No,62.94629277561861,-1
SN1959E,Unclassified,No,7.888114298873301,-1
SN1901B,Unclassified,No,12.603072150814626,-1
SN2020oi,SESNe,Yes,0.1,1693
SN2019ehk,SESNe,Yes,0.1,1722
